PlotID,Replicate,Row,Column,GenotypeID,DaysToPollen,LeafAreaIndex,LeafLengthCM,LeafWidthCM,PlantHeightCM,ExtantLeafNumber1,NodesWithBraceRoots,ExtantLeafNumber2,year2020,year2021,year2022,year2020_1
1432,1,16,12,A12,65,2.56,73.75,7.6,172.5,13,1.67,14.33,1,0,0,1
2823,2,60,11,A12,63,2.43,67.75,7.9,145,11,1,14,1,0,0,0
1017,1,1,17,A15,59,3.73,63.75,7.35,167.5,9.5,0,11.67,1,0,0,1
2669,2,54,25,A15,61,,56.5,7.25,151.5,9.5,0.33,11.67,1,0,0,0
1395,1,15,3,A155,64,2.87,65.5,8.1,156,10,0.67,10.67,1,0,0,1
2164,2,36,24,A155,65,3.85,68.25,8.9,147,10.5,1,11.33,1,0,0,0
1050,1,2,22,A239,71,4.67,82,9,185.5,12.5,1.33,13,1,0,0,1
2579,2,51,19,A239,73,4.18,73.5,8.8,158.5,11.5,1.67,13.33,1,0,0,0
1162,1,6,22,A258,71,3.24,73.75,10,167.5,13,2.33,14.67,1,0,0,1
2245,2,39,21,A258,73,3.39,74,11.4,151.5,13,1,12,1,0,0,0
1515,1,19,11,A305,65,3.13,63,7.75,178.5,12,1.33,13.33,1,0,0,1
2273,2,40,21,A305,67,3.26,65,7.75,174.5,11.5,1.33,13.67,1,0,0,0
1079,1,3,23,A321,69,3.74,77.25,9.25,166.5,11,0.33,14.33,1,0,0,1
2285,2,41,5,A321,71,2.49,70.5,8.55,144,10.5,0,12.33,1,0,0,0
1418,1,15,26,A322,68,2.78,63.5,8,171,12.5,1,14,1,0,0,1
2054,2,32,26,A322,66,2.84,62.5,8.5,173.5,12.5,0.33,13.33,1,0,0,0
1303,1,11,23,A334,64,3.36,75.25,7.65,158.5,11,1.67,12.67,1,0,0,1
2394,2,45,2,A334,66,2.24,73.5,7,156,10.5,1,12.33,1,0,0,0
1755,1,27,27,A340,65,3.32,72.25,7.65,183.5,12,1,13.33,1,0,0,1
2362,2,43,26,A340,66,3.1,68.5,6.95,174,12.5,0.33,14,1,0,0,0
1073,1,3,17,A344,63,3.54,57.75,8.15,145,11.5,0.67,13,1,0,0,1
2227,2,39,3,A344,63,3.13,53.25,7,124,10,0,13.67,1,0,0,0
1403,1,15,11,A374,68,,93.25,7.5,170,12,1,13.33,1,0,0,1
2011,2,31,11,A374,69,2.89,89,7.1,168,13,1.67,12,1,0,0,0
1557,1,20,25,A3G-3-3-1-313,77,3.98,73.25,7.65,141,14.5,1,17.33,1,0,0,1
2552,2,50,20,A3G-3-3-1-313,76,2.85,72.75,7.2,152,13.5,1,14.33,1,0,0,0
1565,1,21,5,A401,71,4.07,72.5,8.75,154,11,1.33,13.33,1,0,0,1
2545,2,50,13,A401,72,3.69,69.5,9,139,10.5,1.67,14,1,0,0,0
1051,1,2,23,A415-1-3_INBRED,77,,82.5,8.15,246,15.5,3.33,17.67,1,0,0,1
2286,2,41,6,A415-1-3_INBRED,77,4.75,76,7.9,200.5,15,4,16.67,1,0,0,0
1243,1,9,19,A427,73,4.13,75.25,10.5,170.5,10.5,0.33,11.67,1,0,0,1
